Land,City,Town,Explorer,Dahan
🇲🇺Q2,2,6,1,
🇲🇺Q3,,,1,
🇲🇺Q4,2,10,,1
🇲🇺Q5,,,,2
🇲🇺Q7,,1,2,
🇲🇺R1,,1,,
🇲🇺R2,3,5,1,
🇲🇺R3,2,6,,
🇲🇺R4,,,,
🇲🇺R5,,,,
🇲🇺R6,,1,,
🇲🇺R7,,,3,
🇲🇺R8,,,,
🇲🇺S1,,2,,
🇲🇺S2,3,,,
🇲🇺S3,,1,,
🇲🇺S4,,,,
🇲🇺S5,,,,
🇲🇺S6,,,,
🇲🇺S7,,,,
🇲🇺S8,,,,
🇲🇺T1,1,5,1,
🇲🇺T2,2,6,,
🇲🇺T3,1,6,1,
🇲🇺T4,,3,,3
🇲🇺T5,1,4,,1
🇲🇺T6,2,9,,
🇲🇺T7,,1,2,
🇲🇺T8,1,4,1,1
🇲🇺U1,1,5,,
🇲🇺U2,3,6,2,1
🇲🇺U3,1,4,1,
🇲🇺U4,,2,,
🇲🇺U5,1,3,1,
🇲🇺U6,1,6,1,
🇲🇺U8,,6,3,3
🇲🇺U8,1,4,1,
🍌P3,,,,
🍌Q1,,,1,
🍌Q4,,1,2,
🍌Q5,,,,
🍌Q6,1,,3,2
🍌Q7,,1,2,
🍌Q8,,1,,1
🍌R2,2,1,,
🍌R3,,3,,1
🍌R4,,1,,3
🍌R5,,2,2,
🍌R6,,,,1
🍌R7,1,1,1,
🍌R8,,,,2
🍌S1,1,2,,
🍌S4,,,2,2
🍌S5,,,,
🍌S6,2,3,1,
🍌S7,,1,,
🍌S8,,1,,
🍌T8,1,6,4,
🍪Q3,1,5,,1
🍪Q4,1,,,
🍪Q7,1,7,,
🍪R1,1,5,,1
🍪R2,,,,
🍪R3,,4,,
🍪R4,,,1,4
🍪R5,,7,,
🍪R6,1,1,3,4
🍪R7,,1,,
🍪R8,,3,,
🍪S2,2,5,,
🍪S3,,,,
🍪S4,,,,
🍪S5,,,,
🍪S6,1,4,1,2
🍪S7,,,,
🍪S8,,4,,2
🍪T1,,,1,
🍪T2,1,7,,1
🍪T4,,6,,
🍪T5,1,4,2,
🍪T6,,1,,
🍪T7,,4,,
🍪T8,,,,
🍪U1,1,3,1,3
🍪U8,1,5,1,2
🎈T3,,,,
🎈T4,,,,
🎈T6,,,,
🎈U1,,,,
🎈U2,,,,
🎈U3,,,,
🎈U4,1,1,1,
🎈U5,,1,2,2
🎈U6,,1,4,
🎈U7,,,,
🎈U8,1,1,,
🐀R7,,,,3
🐀S2,1,,2,3
🐀S3,,3,1,
🐀S4,,,,
🐀T1,1,1,,
🐀T2,,,3,2
🐀T3,,,,1
🐀T4,,2,2,2
🐀T5,,,1,
🐀T6,1,2,1,
🐀T7,,,,2
🐀T8,,1,,2
🐀U1,,,2,2
🐀U2,2,4,,
🐀U3,,1,1,1
🐀U4,1,2,2,
🐀U5,,2,1,
🐀U6,,2,,3
🐀U7,,,,
🐀U8,,1,,
🐑P1,,3,,5
🐑P2,1,2,2,
🐑P3,,1,1,
🐑P4,,1,,
🐑P5,,1,,
🐑P6,,1,1,2
🐑P7,1,1,1,
🐑P8,,,,
🐑Q1,2,1,1,
🐑Q2,1,2,1,1
🐑Q3,,2,1,3
🐑Q4,,,,
🐑Q5,,1,1,
🐑Q6,1,2,1,
🐑Q7,,,,2
🐑Q8,,,,
🐑R1,,1,,
🐑R2,,1,,1
🐑R3,,,1,
🐑R4,,,,
🐑R5,,,,
🐑R6,,,,
🐑R7,,,,
🐑R8,,1,,
👻S4,,,,
👻S4,1,1,,
👻S7,2,4,2,
💖P1,,1,1,2
💖P6,,1,,
💖P8,,1,,
🤖P1,,2,,1
🤖P6,1,1,1,
🤖S2,,,,
🤖S3,,,1,
🤖S4,,1,1,
🤖U1,,,,1
🤖U2,,1,,
🤖U4,,,,
🤖U5,1,3,2,
🤖U6,,,,
🤖U7,1,2,1,
🤖U8,,1,1,3
🧀S7,,1,,3
🧀S8,2,4,2,
🧀T8,,1,1,2
